StudyID,Subgroup,Age_Group,Country,Device_Brand,Sampling_Rate_Hz,Sleep_Objective_Yes_No,Behavior,Minutes,Mean_Type,StudyID_display
"Dumuid, Stanford, Pedi_i_ (2018) (Overweight Boys)",Overweight boys,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,LPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Overweight Boys) (Overweight boys)"
"Dumuid, Stanford, Pedi_i_ (2018) (Overweight Boys)",Overweight boys,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,MVPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Overweight Boys) (Overweight boys)"
"Dumuid, Stanford, Pedi_i_ (2018) (Obese boys)",Obese boys,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,Sleep,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Obese boys) (Obese boys)"
"Dumuid, Stanford, Pedi_i_ (2018) (Obese boys)",Obese boys,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,SB,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Obese boys) (Obese boys)"
"Dumuid, Stanford, Pedi_i_ (2018) (Obese boys)",Obese boys,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,LPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Obese boys) (Obese boys)"
"Dumuid, Stanford, Pedi_i_ (2018) (Obese boys)",Obese boys,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,MVPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Obese boys) (Obese boys)"
"Dumuid, Stanford, Pedi_i_ (2018) (Normal weight girls)",Normal weight girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,Sleep,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Normal weight girls) (Normal weight girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Normal weight girls)",Normal weight girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,SB,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Normal weight girls) (Normal weight girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Normal weight girls)",Normal weight girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,LPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Normal weight girls) (Normal weight girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Normal weight girls)",Normal weight girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,MVPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Normal weight girls) (Normal weight girls)"
